"","X.2","X.1","X","Country","population_2020","yearly_change","net_change","pop_density","land_area","mig_net","fert_rate","med_age","urban_pop","world_share","suicide_rate","gdp_per_capita","life_expect","continent","dup_population_2020"
"1",1,1,1,"Afghanistan",38928346,2.33,886592,60,652860,-62920,4.6,18,25,0.5,6.4,2182,64.5,"Asia",38928346
"2",3,3,3,"Algeria",43851044,1.85,797990,18,2381740,-10000,3.1,29,73,0.56,3.3,16091,76.7,"Africa",43851044
"3",4,4,4,"Angola",32866272,3.27,1040977,26,1246700,6413,5.6,17,67,0.42,8.9,6763,60.8,"Africa",32866272
"4",5,5,5,"Antigua and Barbuda",97929,0.84,811,223,440,0,2,34,26,0,0.5,30593,76.9,"North America",97929
"5",6,6,6,"Argentina",45195774,0.93,415097,17,2736690,4800,2.3,32,93,0.58,9.1,19971,76.5,"South America",45195774
"6",7,7,7,"Armenia",2963243,0.19,5512,104,28470,-4998,1.8,35,63,0.04,5.7,11845,74.9,"Asia",2963243
"7",9,9,9,"Australia",25499884,1.18,296686,3,7682300,158246,1.8,38,86,0.33,11.7,54799,83.3,"Oceania",25499884
"8",10,10,10,"Austria",9006398,0.57,51296,109,82409,65000,1.5,43,57,0.12,11.4,55171,81.4,"Europe",9006398
"9",11,11,11,"Azerbaijan",10139177,0.91,91459,123,82658,1200,2.1,32,56,0.13,2.6,19156,72.9,"Asia",10139177
"10",12,12,12,"Bahamas",393244,0.97,3762,39,10010,1000,1.8,32,86,0.01,1.6,33432,73.8,"North America",393244
"11",13,13,13,"Bahrain",1701575,3.68,60403,2239,760,47800,2,32,89,0.02,5.7,51991,77.2,"Asia",1701575
"12",14,14,14,"Bangladesh",164689383,1.01,1643222,1265,130170,-369501,2.1,28,39,2.11,6.1,5453,72.3,"Asia",164689383
"13",15,15,15,"Barbados",287375,0.12,350,668,430,-79,1.6,40,31,0,0.4,19364,79.1,"North America",287375
"14",16,16,16,"Belarus",9449323,-0.03,-3088,47,202910,8730,1.7,40,79,0.12,21.4,21224,74.6,"Europe",9449323
"15",17,17,17,"Belgium",11589623,0.44,50295,383,30280,48000,1.7,42,98,0.15,15.7,50904,81.5,"Europe",11589623
"16",18,18,18,"Belize",397628,1.86,7275,17,22810,1200,2.3,25,46,0.01,5.9,8791,74.5,"North America",397628
"17",19,19,19,"Benin",12123200,2.73,322049,108,112760,-2000,4.9,19,48,0.16,15.7,3648,61.5,"Africa",12123200
"18",20,20,20,"Bhutan",771608,1.12,8516,20,38117,320,2,28,46,0.01,11.6,10627,71.5,"Asia",771608
"19",21,21,21,"Bolivia",11673021,1.39,159921,11,1083300,-9504,2.8,26,69,0.15,12.9,8525,71.2,"South America",11673021
"20",22,22,22,"Bosnia and Herzegovina",3280819,-0.61,-20181,64,51000,-21585,1.3,43,52,0.04,6.4,14894,77.3,"Europe",3280819
"21",23,23,23,"Botswana",2351627,2.08,47930,4,566730,3000,2.9,24,73,0.03,11.5,19388,69.3,"Africa",2351627
"22",24,24,24,"Brazil",212559417,0.72,1509890,25,8358140,21200,1.7,33,88,2.73,6.1,17106,75.7,"South America",212559417
"23",25,25,25,"Brunei",437479,0.97,4194,83,5270,0,1.8,32,80,0.01,4.5,85011,75.7,"Asia",437479
"24",26,26,26,"Bulgaria",6948445,-0.74,-51674,64,108560,-4800,1.6,45,76,0.09,7.9,26034,74.9,"Europe",6948445
"25",27,27,27,"Burkina Faso",20903273,2.86,581895,76,273600,-25000,5.2,18,31,0.27,14.8,2181,61.2,"Africa",20903273
"26",28,28,28,"Burundi",11890784,3.12,360204,463,25680,2001,5.5,17,14,0.15,15,724,61.2,"Africa",11890784
"27",29,29,29,"Cabo Verde",555987,1.1,6052,138,4030,-1342,2.3,28,68,0.01,15.1,8716,72.8,"Africa",555987
"28",30,30,30,"Cambodia",16718965,1.41,232423,95,176520,-30000,2.5,26,24,0.21,5.9,5004,69.6,"Asia",16718965
